cc_num,qtd_zero,qtd_um
180015879968469,289,8
180016048175499,0,4
180025639427888,277,8
180036374545891,872,8
180050863765993,290,5
180064679970242,1441,9
180070862095937,283,6
180088770435813,857,7
213101061817531,1481,9
213114138113867,0,7
213123806174457,1758,10
213140433504880,880,6
213174225790506,582,9
213177038860861,860,8
213179501455617,291,5
213193010310510,1448,13
2222913619399092,0,8
2223868528975581,302,8
2237215107029667,0,8
2246502491630096,573,9
2246730371837644,298,9
2248267586926175,1707,6
2261247826137504,890,10
2261413975523148,280,7
2289399824558773,1166,8
2413395962923307,298,0
2445642400825475,585,11
2531096789940535,0,9
2556551256746807,278,8
2623398454615676,900,8
2702755394237339,0,9
2704895543937690,578,4
2706999386774968,1435,8
2717218114374471,569,5
2720948837550370,0,9
30010432898610,0,8
30026728857441,0,12
30245992816152,872,5
30261493316378,294,9
30280512927668,1448,5
30428604765807,1176,8
30470551694093,1191,7
341323705895781,0,7
341752500743293,1713,10
342402681177585,0,11
342771670145088,1776,9
343731453038560,1721,4
345331586923222,296,12
345459910229014,880,7
346218159970624,1166,6
348017046226564,0,9
3504389836403768,601,0
3504899642353692,847,8
3506537947383471,590,7
3508835615951480,0,8
3510932480861310,1136,8
3514658404499723,293,7
3515727919409615,873,5
3515814491476608,1176,10
3517182278248964,879,12
3520585277221706,1161,5
3520679981364629,295,9
3521047095214560,1464,2
3521655852398689,0,7
3521699586693460,847,7
3525799136621031,582,6
3528478189137180,0,10
3531142626551107,562,8
3531243292127790,870,7
3532536729466718,291,6
3533484344375759,1722,9
3534316117240050,877,8
3537416724342666,592,11
3541605297516136,296,8
3545381792171746,903,6
3546095396218518,866,9
3548877190659403,1771,11
3551353465549475,273,0
3555792499125131,849,7
3556258815371477,0,10
3556647423122092,1442,7
3557569245937524,873,10
3566683272386569,910,4
3568602592222062,864,5
3569735779071412,292,8
3572282005577842,0,8
3573467065627293,292,9
3576719903849837,878,3
3579469548995291,0,7
3579472846392088,1471,3
3583219719975810,1753,8
3594079290490473,1460,7
375452711116152,286,5
375574313291214,862,8
376205554384041,884,2
378044206788319,286,10
379415521667462,1159,10
38115921249985,576,7
4027868144733,300,8
4028772175354087,593,11
4030299228092023,890,12
4033542168940,1166,12
4037788925546656,1165,6
4065133387262473,294,10
4082400842710944,290,8
4103924051477056,871,9
4143455812236231660,874,8
4163287083172781,1452,8
4165820297021358,1744,4
4173574384215031787,578,0
4181298266570277,303,11
4184992618914117392,869,8
4189092753269739,886,7
4192832764832,292,0
4212281606484229407,1158,9
4218196001337,0,10
4238849696532874,299,13
4241913800030756,1443,9
4251354278496,594,9
4257775478129142835,299,6
4262067240046,299,6
4279788191480,1477,7
4289226801824223,599,9
4289539264422099,1157,10
4303161799042102026,857,6
4314737996507527356,0,12
4320616329451163,1484,9
4328309652074461,1474,7
4351161559407816183,1738,10
4357972798552411,288,7
4439407016451049,285,6
4442703120735649,855,10
4453017426841459337,303,6
4475987622023410,848,7
4480396522393,1186,8
4486528168505423,871,6
4506149731032419,0,9
4506413836702411,287,4
4514627048281480,1452,6
4541520643611037125,0,10
4546913736785082143,293,9
4557790827237,300,7
4566765277584161694,290,9
4570433154100676,289,9
4571775140102,0,6
4571983863842,584,10
4585149368991,598,7
4609379660334199,277,5
4628733427086681,297,4
4702895171870260,850,7
4708053100330923275,596,7
4727857608495880,295,9
4748217594647436717,1775,11
4772233060463333,285,9
4826886153355546,1176,9
4842199330839,282,7
4854249321494,293,7
4874016400529,294,6
4900532931839331,574,10
4903494466574378,594,11
4965610143888999,284,6
4982150648900,880,9
4995342836449,869,7
4995900109439695,1436,7
4997335494651909867,581,8
502063159995,575,7
503811586935,570,13
5140915701840943,0,5
5191043006848665,296,8
5288398225871391,1781,9
5573585730652407,1435,13
563173936383,601,9
564471349360,292,11
568430988390,295,9
584119986795,901,12
6011034324451072,281,6
6011193149190586,563,11
6011416389448467,0,9
6011495788568554,850,7
6011559428434798,1150,2
6011786876532696,1420,5
6011838065787597,861,6
6011839826224441,1181,7
6011898331465915,878,7
6011926495782328,859,8
60454932967,893,6
630423120389,585,7
630447468723,884,10
6512694486959461,879,6
6533752431069037,579,7
6533950047974802,569,7
6541458685014295,289,6
6577738721489511,1473,7
6589026012796117,865,7
6591803397401489,1168,4
675950110246,592,10
676170593252,850,7
676213075622,1185,8
676296881433,1764,7
676334414486,585,9
